n_invalid_so_far,n_valid_so_far,n_reissues_so_far,max_time_offset_so_far,any_cross_session_so_far,any_valid_after_reissue_so_far,any_valid_near_or_after_ttl_so_far,mean_invalid_attempt_gap_s,channel_is_sms,fraction_observed,scenario_type,label
0,1,0,77.98082319246751,0,0,0,0.0,1,0.7881576203415547,benign_sms_normal,0
0,1,0,58.659229340021575,0,0,0,0.0,0,0.8327977913932469,benign_single_use,0
0,1,0,354.5959266095725,0,0,1,0.0,1,0.5595586169628068,late_verify,1
0,1,0,40.41258160443655,0,0,0,0.0,1,0.8759331292895809,benign_single_use,0
7,0,0,27.80504673422401,0,0,0,4.005353799857473,0,0.9251847849255384,brute_force,1
0,1,0,356.53979944351704,0,0,1,0.0,1,0.3306626360510601,late_verify,1
2,0,0,26.547262660104327,0,0,0,14.61011678921052,0,0.5593217942244082,benign_retry_then_success,0
0,1,1,24.95637205909307,0,1,0,0.0,0,0.6329934483581536,stale_after_reissue,1
0,1,0,29.04335553797819,0,0,0,0.0,1,0.8828747372404862,benign_single_use,0
0,1,0,338.1716303244629,0,0,1,0.0,1,0.8825818609766407,late_verify,1
0,1,0,29.507888834070748,0,0,0,0.0,1,0.7777468527824828,benign_sms_normal,0
2,1,0,26.509650046142113,0,0,0,12.44309253002566,0,0.7936157650384346,benign_retry_then_success,0
0,1,0,30.240367654608697,0,0,0,0.0,1,0.6981188371670256,benign_single_use,0
0,1,0,41.76216289847594,0,0,0,0.0,0,0.6297673443001928,benign_single_use,0
0,1,0,70.02490288036218,0,0,0,0.0,1,0.7443028240004135,benign_sms_normal,0
5,0,0,11.972993192035396,0,0,0,2.3633106754305837,0,0.5055156304366786,brute_force,1
2,1,0,31.255183330486457,0,0,0,10.97176248392865,0,0.8698142692662243,benign_retry_then_success,0
0,1,0,9.952632342660296,0,0,0,0.0,0,0.8056515454175153,benign_single_use,0
0,1,0,18.708101217856154,0,0,0,0.0,0,0.6507313425723544,benign_sms_normal,0
0,1,1,53.63782627016767,0,1,0,0.0,0,0.5110584624035135,stale_after_reissue,1
0,1,0,344.05570065585346,0,0,1,0.0,1,0.3613549435212707,late_verify,1
0,1,0,54.97193798891839,0,0,0,0.0,0,0.7897949936675246,benign_single_use,0
5,0,0,16.568175596336186,0,0,0,2.918605269126803,0,0.4237409480574622,brute_force,1
4,0,0,15.814814026706095,0,0,0,3.739166415650471,1,0.5910651815194268,brute_force,1
0,1,0,359.78490749009774,0,0,1,0.0,0,0.5309028486329497,late_verify,1
0,1,1,49.21484364491356,0,1,0,0.0,1,0.9475840828637581,stale_after_reissue,1
0,1,0,34.48393338546115,0,0,0,0.0,1,0.7136408440369917,benign_sms_normal,0
0,1,0,31.52668903185951,0,0,0,0.0,0,0.8479146590752002,benign_single_use,0
0,1,1,62.22721386866103,0,1,0,0.0,0,0.956478518482488,stale_after_reissue,1
1,1,0,13.18253592521335,0,0,0,0.0,1,0.6644706817300764,benign_retry_then_success,0
3,0,0,12.313508925163676,0,0,0,3.5910246520959435,0,0.4968636486873058,brute_force,1
2,0,0,16.516661254482642,0,0,0,4.292891351470757,1,0.46114979362641656,benign_retry_then_success,0
0,1,0,25.40072561243413,0,0,0,0.0,0,0.8808528201926891,benign_single_use,0
11,0,0,42.14079684901615,0,0,0,3.637629987366742,1,0.9235547436149674,brute_force,1
0,1,0,33.5372098212547,0,0,0,0.0,1,0.521150336281555,benign_single_use,0
0,1,0,36.76090695426535,0,0,0,0.0,0,0.3661266676430607,benign_sms_normal,0
0,1,0,332.2328013948209,0,0,1,0.0,1,0.9557692053736455,late_verify,1
0,1,0,50.711196966869835,1,0,0,0.0,0,0.4072990216371458,cross_session,1
0,1,0,55.9475372792717,0,0,0,0.0,0,0.912193428586225,benign_sms_normal,0
0,1,0,47.75726610326477,0,0,0,0.0,0,0.9802784982426771,benign_single_use,0
1,0,0,3.1672354524984185,0,0,0,0.0,1,0.3922755524505647,benign_retry_then_success,0
0,1,0,11.700787754569212,0,0,0,0.0,1,0.6544309521344431,benign_single_use,0
0,1,0,324.77330254754685,0,0,1,0.0,1,0.8628871683275838,late_verify,1
0,0,1,45.644120215354796,0,0,0,0.0,1,0.3866276625552412,stale_after_reissue,1
0,2,0,42.11837177130995,0,0,0,0.0,0,0.7640049489345077,replay_attempt,1
0,1,0,20.754542478513024,0,0,0,0.0,1,0.947365900518419,benign_single_use,0
0,1,0,39.868631142459684,0,0,0,0.0,1,0.3741281826255273,benign_single_use,0
0,1,0,350.87460399864017,0,0,1,0.0,0,0.9763623385002271,late_verify,1
1,0,0,12.652330987355649,0,0,0,0.0,0,0.3124857487838914,benign_retry_then_success,0
0,1,1,64.31810289193706,0,1,0,0.0,0,0.6715387134193374,stale_after_reissue,1
0,1,0,404.26093549934535,0,0,1,0.0,1,0.7221750101371079,late_verify,1
1,1,0,18.933757343441812,0,0,0,0.0,0,0.9072434422266273,benign_retry_then_success,0
1,1,0,17.79211971889233,0,0,0,0.0,1,0.8715981343967372,benign_retry_then_success,0
0,1,1,48.171899669781354,0,1,0,0.0,1,0.8772649333194389,stale_after_reissue,1
0,1,0,12.912956313412845,0,0,0,0.0,0,0.9446793307412151,benign_single_use,0
0,0,1,13.448736735563225,0,0,0,0.0,0,0.314803611435508,stale_after_reissue,1
0,1,0,19.844525029547476,0,0,0,0.0,0,0.33736735283902275,benign_sms_normal,0
2,1,0,23.59377348967569,0,0,0,6.815893163424592,1,0.9125034595642258,benign_retry_then_success,0
0,1,0,14.982412527808824,0,0,0,0.0,1,0.47457130308254825,replay_attempt,1
2,0,0,11.074419100645986,0,0,0,7.483369661514859,1,0.3711703320326012,benign_retry_then_success,0
0,1,0,7.857902655580734,0,0,0,0.0,1,0.9473893083126435,benign_single_use,0
0,1,1,113.46102239004131,0,1,0,0.0,1,0.8614181161915155,stale_after_reissue,1
4,0,0,13.81919734564664,0,0,0,2.974738524251998,1,0.3978378876677698,brute_force,1
4,0,0,10.469848824413974,0,0,0,2.768999707256535,0,0.5078135321998997,brute_force,1
0,1,0,82.88958166074512,0,0,0,0.0,1,0.6366372998100549,benign_sms_normal,0
0,1,0,51.67082688254935,1,0,0,0.0,0,0.7568111383920714,cross_session,1
0,1,0,34.299725183615706,1,0,0,0.0,1,0.7430423404873345,cross_session,1
0,1,0,16.13225262191451,0,0,0,0.0,0,0.7863586901729487,benign_single_use,0
11,0,0,43.621087293391966,0,0,0,3.954918859068237,1,0.9622189439721311,brute_force,1
