country,country_risk,asn_reputation_risk,device_type,is_new_country,is_new_device,round_trip_time_ms,hour_of_day,is_attack_ip,login_successful,is_account_takeover
Netherlands,0.08,0.07347365687756408,desktop,1,0,76.36326985810885,13,0,1,1
France,0.07,0.1110497901843744,desktop,0,0,88.71752808768704,19,0,1,0
Netherlands,0.08,0.2218089308841341,desktop,0,0,59.06339712125115,11,0,1,0
Japan,0.05,0.3040267840935938,tablet,0,0,166.01690904732817,6,0,1,0
United States,0.05,0.07039747686143777,mobile,0,0,43.254262902566666,20,1,1,0
Indonesia,0.3,0.34072360663821327,desktop,1,0,44.319702223748806,16,0,1,1
Netherlands,0.08,0.2530689548387919,desktop,0,0,42.10780170790725,17,0,1,0
Netherlands,0.08,0.23567150751073507,desktop,1,0,73.80023519522584,6,0,1,0
United Kingdom,0.06,0.14313326280233024,mobile,0,0,86.96747501760788,2,0,1,0
France,0.07,0.2270453665107097,desktop,1,0,65.65014026293282,5,0,1,1
Canada,0.05,0.0846186964876308,desktop,0,0,86.876827373522,17,0,1,0
India,0.18,0.1395523604540578,desktop,0,1,86.46978111492304,5,0,1,0
Australia,0.06,0.35584142236082383,tablet,0,0,64.95747149412728,18,0,1,0
Netherlands,0.08,0.2401336163544973,desktop,0,0,85.59190346586018,10,1,1,1
France,0.07,0.25253610379619235,mobile,0,0,68.80276126111885,7,0,1,1
Germany,0.05,0.6953374549385267,tablet,1,0,136.68689689515142,6,1,0,1
Australia,0.06,0.12827890235154102,desktop,1,0,61.900103345946945,1,0,1,0
United States,0.05,0.2645417387280725,desktop,0,0,79.96313699684275,8,0,1,0
Netherlands,0.08,0.04387794218666821,desktop,0,0,112.86889195937331,22,0,1,0
Australia,0.06,0.3851203885597405,mobile,0,0,183.50970762464942,13,1,0,1
Japan,0.05,0.18292771963527324,desktop,0,0,62.295879613671914,18,0,1,0
Canada,0.05,0.21456640402065374,desktop,0,0,78.01751040159472,19,0,1,1
Indonesia,0.3,0.019045072446761756,desktop,0,0,136.30580299026477,16,0,1,0
Vietnam,0.35,0.13106054450035287,mobile,0,0,85.7205107811033,18,0,1,0
Netherlands,0.08,0.06976918725507728,mobile,1,0,55.4539677320944,10,0,0,0
United Kingdom,0.06,0.5408747026735828,desktop,0,0,204.14189645025462,10,0,1,1
France,0.07,0.16126886857882128,mobile,0,0,104.04081599562458,10,0,1,0
United States,0.05,0.09323127821928012,desktop,0,0,66.03790548925913,7,0,1,0
United Kingdom,0.06,0.1508066522232585,desktop,1,0,47.90316283252063,1,0,1,1
Japan,0.05,0.09257414947119585,desktop,0,0,105.0914546340547,15,0,1,0
Japan,0.05,0.002854781767607675,mobile,0,0,82.093973498123,15,0,1,0
Indonesia,0.3,0.4113193688891027,mobile,1,0,205.3062679537745,10,1,1,0
Germany,0.05,0.28345179126595704,desktop,0,0,46.103339625712174,15,0,1,0
Canada,0.05,0.18783051619598548,desktop,0,1,34.51266966164742,18,0,1,0
France,0.07,0.151666323532231,desktop,0,0,59.273839582456915,21,0,1,0
United Kingdom,0.06,0.06836919273569234,desktop,0,0,81.9904517218596,20,0,1,0
United Kingdom,0.06,0.0179360269646568,desktop,0,0,103.15098311135262,8,0,1,0
France,0.07,0.05126761596048148,desktop,0,0,85.51827354595774,6,0,1,0
Germany,0.05,0.334531184650785,desktop,0,0,46.679744149350874,11,0,1,0
Japan,0.05,0.2501364554134172,desktop,0,0,66.73322269387171,9,0,1,0
France,0.07,0.1372552551461921,desktop,0,0,121.54460813063247,16,0,1,0
Netherlands,0.08,0.13864801773148397,desktop,0,0,61.60622207342813,0,0,1,0
Japan,0.05,0.1488575217565193,mobile,0,0,96.45770128489376,6,1,1,1
Germany,0.05,0.03826959472489872,desktop,0,0,92.37640691260235,10,0,1,0
Netherlands,0.08,0.029369533639485135,mobile,0,0,96.15254360692204,2,0,1,0
Netherlands,0.08,0.23288718777243225,desktop,1,0,85.70560260039416,10,0,0,1
Canada,0.05,0.14199554612143164,desktop,1,0,96.04884963591464,3,0,1,0
Germany,0.05,0.1277228533409426,desktop,0,0,43.87991319451361,22,0,1,0
Japan,0.05,0.1167084979646168,desktop,0,0,125.25675603128401,2,0,1,0
United Kingdom,0.06,0.10241968842267266,mobile,0,0,39.161632563534575,9,0,1,0
United Kingdom,0.06,0.10722863710796006,desktop,0,1,82.19810124969477,6,0,1,0
United States,0.05,0.3755740478675901,desktop,0,1,72.46048738109783,10,0,1,0
Netherlands,0.08,0.04233373036562907,desktop,0,0,59.206339320773296,17,0,1,0
Japan,0.05,0.09392697254340018,desktop,0,0,52.388856810247376,7,0,1,0
Japan,0.05,0.5630323846055076,tablet,0,1,198.48133714123227,17,1,1,1
Netherlands,0.08,0.3155726727370494,tablet,0,0,97.56007245940458,2,0,1,0
France,0.07,0.16606890796945203,desktop,0,0,71.08838310426141,23,0,1,0
Australia,0.06,0.22439124553370474,desktop,0,0,66.60387517348072,14,0,1,0
United Kingdom,0.06,0.17243406135893274,desktop,0,0,115.41100727475647,21,0,1,0
United Kingdom,0.06,0.34635696620972733,desktop,0,0,63.58655333529584,5,0,1,0
Japan,0.05,0.09312916346209338,desktop,0,0,72.61970878726046,16,0,1,0
France,0.07,0.08809424994894205,desktop,0,0,68.63054126282744,12,0,1,0
Australia,0.06,0.12945707448238086,desktop,0,0,174.9985526233344,6,0,1,0
Netherlands,0.08,0.35672242021429945,desktop,0,1,54.92716157457913,18,0,0,0
Australia,0.06,0.057051277939607674,desktop,0,0,98.59301419103859,11,0,1,0
Australia,0.06,0.33393069157452854,mobile,0,0,40.65929013473865,17,0,1,0
Australia,0.06,0.1932812755973812,mobile,0,0,52.705815580699536,0,0,1,0
Germany,0.05,0.11227327906153411,desktop,0,1,66.14017084759624,2,0,1,0
United States,0.05,0.3810685697600693,mobile,0,0,163.22399701403083,19,1,1,1
France,0.07,0.08774031959031736,desktop,0,0,66.95040686825858,10,0,1,0
