model,disabled_control,violation_rate,mean_delta_violation_rate,delta_violation_rate_ci95_low,delta_violation_rate_ci95_high,delta_violation_rate_wilcoxon_p,f1,mean_delta_f1,delta_f1_wilcoxon_p,roc_auc,mean_delta_roc_auc,delta_roc_auc_wilcoxon_p,n_seeds,delta_violation_rate_bh_significant,delta_f1_bh_significant,delta_roc_auc_bh_significant
gradient_boosting,(none - all controls active),0.50125,0.0,0.0,0.0,1.0,0.9688474655417914,0.0,1.0,0.9945111562940709,0.0,1.0,10,False,False,False
gradient_boosting,attemptLockoutEnforced,0.40082500000000004,-0.10042499999999999,-0.10339855135700793,-0.09745144864299204,0.001953125,0.961263302012544,-0.007584163529247312,0.001953125,0.9949016129172483,0.00039045662317722664,0.005859375,10,True,True,True
gradient_boosting,expiryBoundaryEnforced,0.39952499999999996,-0.101725,-0.10521575153684785,-0.09823424846315214,0.001953125,0.9606565538693772,-0.008190911672413903,0.001953125,0.9942214567676892,-0.0002896995263817259,0.01953125,10,True,True,True
gradient_boosting,replayRejected,0.3992,-0.10205,-0.10583136785367334,-0.09826863214632667,0.001953125,0.9990336848700109,0.030186219328219598,0.001953125,0.999287826928082,0.00477667063401106,0.001953125,10,True,True,True
gradient_boosting,sessionBindingEnforced,0.400925,-0.100325,-0.1031439484817232,-0.09750605151827679,0.001953125,0.9604775313487502,-0.008369934193040884,0.001953125,0.9943875959141998,-0.00012356037987112378,0.4921875,10,True,True,False
gradient_boosting,supersessionEnforced,0.404525,-0.09672499999999998,-0.10001016187333107,-0.09343983812666888,0.001953125,0.9609832695863452,-0.007864195955446074,0.001953125,0.9943866045475845,-0.00012455174648666744,0.322265625,10,True,True,False
logistic_regression,(none - all controls active),0.50125,0.0,0.0,0.0,1.0,0.951797682379727,0.0,1.0,0.987845388539571,0.0,1.0,10,False,False,False
logistic_regression,attemptLockoutEnforced,0.40082500000000004,-0.10042499999999999,-0.10339855135700793,-0.09745144864299204,0.001953125,0.9617668535453043,0.009969171165577596,0.001953125,0.9941198277284317,0.006274439188860581,0.001953125,10,True,True,True
logistic_regression,expiryBoundaryEnforced,0.39952499999999996,-0.101725,-0.10521575153684785,-0.09823424846315214,0.001953125,0.9344561481892285,-0.017341534190498487,0.001953125,0.9878232513408873,-2.2137198683613857e-05,0.193359375,10,True,True,False
logistic_regression,replayRejected,0.3992,-0.10205,-0.10583136785367334,-0.09826863214632667,0.001953125,0.9991264585411999,0.04732877616147306,0.001953125,0.9999957060876703,0.012150317548099133,0.001953125,10,True,True,True
logistic_regression,sessionBindingEnforced,0.400925,-0.100325,-0.1031439484817232,-0.09750605151827679,0.001953125,0.9344258303559048,-0.01737185202382212,0.001953125,0.9877223735221744,-0.0001230150173967326,0.064453125,10,True,True,False
logistic_regression,supersessionEnforced,0.404525,-0.09672499999999998,-0.10001016187333107,-0.09343983812666888,0.001953125,0.9345606955026922,-0.01723698687703461,0.001953125,0.9877032517901576,-0.00014213674941351284,0.013671875,10,True,True,True
