accuracy,precision,recall,f1,roc_auc,pr_auc,support_positive,support_negative,model,experiment,n_features,seed,disabled_control,violation_rate,delta_violation_rate,delta_f1,delta_roc_auc
0.9535,0.9766355140186916,0.93026706231454,0.952887537993921,0.9887156345917856,0.9905975364401458,2022,1978,logistic_regression,compliance_violation_early_warning,10,42,(none - all controls active),0.5055,0.0,0.0,0.0
0.9705,0.997907949790795,0.9436201780415431,0.9700050838840875,0.9938121262672784,0.9945006688247142,2022,1978,gradient_boosting,compliance_violation_early_warning,10,42,(none - all controls active),0.5055,0.0,0.0,0.0
0.999,1.0,0.9975654290931223,0.9987812309567337,0.9999912202576545,0.9999875674525979,1643,2357,logistic_regression,compliance_violation_early_warning,10,42,replayRejected,0.41075,-0.09474999999999995,0.04589369296281265,0.011275585665868948
0.99875,0.999390243902439,0.9975654290931223,0.9984770027413951,0.9989978182340271,0.9993335806680933,1643,2357,gradient_boosting,compliance_violation_early_warning,10,42,replayRejected,0.41075,-0.09474999999999995,0.0284719188573076,0.005185691966748673
0.9495,0.9527868852459016,0.917877447883765,0.935006435006435,0.9886587189969136,0.9855202335823935,1583,2417,logistic_regression,compliance_violation_early_warning,10,42,expiryBoundaryEnforced,0.39575,-0.10974999999999996,-0.01788110298748602,-5.691559487197573e-05
0.97075,0.9972862957937585,0.9286165508528111,0.9617271835132483,0.9941057643126402,0.9920493711168131,1583,2417,gradient_boosting,compliance_violation_early_warning,10,42,expiryBoundaryEnforced,0.39575,-0.10974999999999996,-0.008277900370839197,0.00029363804536175486
0.97225,1.0,0.9306683322923173,0.9640892914914267,0.9947458849057188,0.9930158439323197,1601,2399,logistic_regression,compliance_violation_early_warning,10,42,attemptLockoutEnforced,0.40025,-0.10524999999999995,0.01120175349750574,0.0060302503139332275
0.97075,0.9946666666666667,0.9319175515302935,0.9622702354079329,0.9947310442436587,0.9928807524987134,1601,2399,gradient_boosting,compliance_violation_early_warning,10,42,attemptLockoutEnforced,0.40025,-0.10524999999999995,-0.007734848476154577,0.000918917976380218
0.95075,0.9555412371134021,0.9205462445685909,0.9377173569396143,0.9886241487014116,0.985987989392002,1611,2389,logistic_regression,compliance_violation_early_warning,10,42,sessionBindingEnforced,0.40275,-0.10274999999999995,-0.015170181054306675,-9.148589037399901e-05
0.971,0.9973386560212908,0.930477963997517,0.9627488760436738,0.9940749800126226,0.9920865731565621,1611,2389,gradient_boosting,compliance_violation_early_warning,10,42,sessionBindingEnforced,0.40275,-0.10274999999999995,-0.007256207840413698,0.0002628537453441826
0.94925,0.9547454431175362,0.9206060606060606,0.937365010799136,0.9885967762733721,0.9864592291875623,1650,2350,logistic_regression,compliance_violation_early_warning,10,42,supersessionEnforced,0.4125,-0.09299999999999997,-0.015522527194784974,-0.00011885831841351724
0.97075,0.9974042829331603,0.9315151515151515,0.9633343779379505,0.994078787878788,0.9926753622837372,1650,2350,gradient_boosting,compliance_violation_early_warning,10,42,supersessionEnforced,0.4125,-0.09299999999999997,-0.0066707059461369456,0.0002666616115095666
0.95,0.9753593429158111,0.9259259259259259,0.95,0.9873914766382074,0.9897852793752355,2052,1948,logistic_regression,compliance_violation_early_warning,10,43,(none - all controls active),0.513,0.0,0.0,0.0
0.96625,0.9989588755856325,0.9351851851851852,0.9660206393153788,0.9942107114409341,0.9950186185455787,2052,1948,gradient_boosting,compliance_violation_early_warning,10,43,(none - all controls active),0.513,0.0,0.0,0.0
0.9985,1.0,0.9963076923076923,0.9981504315659679,0.9999911902834008,0.9999872137671116,1625,2375,logistic_regression,compliance_violation_early_warning,10,43,replayRejected,0.40625,-0.10675000000000001,0.04815043156596799,0.012599713645193411
0.99825,0.9993827160493827,0.9963076923076923,0.9978428351309707,0.9997403724696357,0.9996939160507639,1625,2375,gradient_boosting,compliance_violation_early_warning,10,43,replayRejected,0.40625,-0.10675000000000001,0.03182219581559187,0.00552966102870156
0.946,0.9526551503518874,0.9129368485591661,0.9323731997495304,0.9873664508277907,0.9846856878057808,1631,2369,logistic_regression,compliance_violation_early_warning,10,43,expiryBoundaryEnforced,0.40775,-0.10525000000000001,-0.017626800250469588,-2.5025810416634542e-05
0.966,0.9986657771847899,0.917841814837523,0.9565495207667731,0.9939038609010366,0.9919384378031064,1631,2369,gradient_boosting,compliance_violation_early_warning,10,43,expiryBoundaryEnforced,0.40775,-0.10525000000000001,-0.009471118548605717,-0.00030685053989754074
0.968,0.9980171844018506,0.9235474006116208,0.9593392630241423,0.9940415462497818,0.9923139927276226,1635,2365,logistic_regression,compliance_violation_early_warning,10,43,attemptLockoutEnforced,0.40875,-0.10425000000000001,0.009339263024142341,0.006650069611574438
0.96725,0.9980132450331126,0.9217125382262997,0.9583465818759936,0.9946800628430669,0.9929238514662414,1635,2365,gradient_boosting,compliance_violation_early_warning,10,43,attemptLockoutEnforced,0.40875,-0.10425000000000001,-0.007674057439385207,0.00046935140213277826
0.94575,0.9508506616257089,0.9156553398058253,0.9329211746522411,0.9874270399907537,0.9850416462132747,1648,2352,logistic_regression,compliance_violation_early_warning,10,43,sessionBindingEnforced,0.412,-0.10100000000000003,-0.01707882534775884,3.5563352546286175e-05
0.96525,0.9967083607636603,0.9186893203883495,0.9561098831701926,0.9945660530595735,0.9928710343488255,1648,2352,gradient_boosting,compliance_violation_early_warning,10,43,sessionBindingEnforced,0.412,-0.10100000000000003,-0.009910756145186217,0.00035534161863937097
0.94575,0.952054794520548,0.9161174355901738,0.9337404580152672,0.9872749579160605,0.9851957035161965,1669,2331,logistic_regression,compliance_violation_early_warning,10,43,supersessionEnforced,0.41725,-0.09575,-0.016259541984732784,-0.00011651872214690773
0.96575,0.9974025974025974,0.920311563810665,0.9573075724524774,0.9937108639924698,0.9920763730938446,1669,2331,gradient_boosting,compliance_violation_early_warning,10,43,supersessionEnforced,0.41725,-0.09575,-0.008713066862901409,-0.0004998474484643189
0.95275,0.9784830554061323,0.9242886178861789,0.9506140580088842,0.9867503580916713,0.9884029849946946,1968,2032,logistic_regression,compliance_violation_early_warning,10,44,(none - all controls active),0.492,0.0,0.0,0.0
0.9685,0.9994577006507592,0.9364837398373984,0.9669464847848899,0.9949374539882211,0.9951754944587857,1968,2032,gradient_boosting,compliance_violation_early_warning,10,44,(none - all controls active),0.492,0.0,0.0,0.0
0.9995,1.0,0.9987220447284345,0.9993606138107417,1.0,1.0,1565,2435,logistic_regression,compliance_violation_early_warning,10,44,replayRejected,0.39125,-0.10075,0.048746555801857494,0.013249641908328669
0.99925,0.9993606138107417,0.9987220447284345,0.9990412272291467,0.9992441170103193,0.9961105089760802,1565,2435,gradient_boosting,compliance_violation_early_warning,10,44,replayRejected,0.39125,-0.10075,0.03209474244425681,0.004306663022098256
0.9465,0.9504353650368386,0.9101988454137268,0.9298820445609436,0.9865876375863583,0.982556586454763,1559,2441,logistic_regression,compliance_violation_early_warning,10,44,expiryBoundaryEnforced,0.38975,-0.10225000000000001,-0.020732013447940623,-0.00016272050531307425
0.96925,0.9986111111111111,0.9223861449647209,0.9589863287762588,0.9949031919167923,0.9929380168402592,1559,2441,gradient_boosting,compliance_violation_early_warning,10,44,expiryBoundaryEnforced,0.38975,-0.10225000000000001,-0.007960156008631092,-3.426207142875892e-05
0.969,1.0,0.9206145966709347,0.9586666666666667,0.9927479336455755,0.9900665425036994,1562,2438,logistic_regression,compliance_violation_early_warning,10,44,attemptLockoutEnforced,0.3905,-0.10149999999999998,0.008052608657782456,0.005997575553904122
0.969,1.0,0.9206145966709347,0.9586666666666667,0.9950657220975191,0.9929926312731275,1562,2438,gradient_boosting,compliance_violation_early_warning,10,44,attemptLockoutEnforced,0.3905,-0.10149999999999998,-0.008279818118223203,0.00012826810929800203
0.94475,0.9473684210526315,0.9092071611253197,0.9278955954323002,0.9864668506083094,0.982584879258888,1564,2436,logistic_regression,compliance_violation_early_warning,10,44,sessionBindingEnforced,0.391,-0.10099999999999998,-0.022718462576584053,-0.0002835074833619222
0.9685,0.9993055555555556,0.920076726342711,0.9580559254327563,0.994289751132837,0.9922037706579272,1564,2436,gradient_boosting,compliance_violation_early_warning,10,44,sessionBindingEnforced,0.391,-0.10099999999999998,-0.008890559352133565,-0.0006477028553840691
0.94675,0.9553975436328378,0.9112207151664612,0.932786367939413,0.986556017501159,0.983654075881329,1622,2378,logistic_regression,compliance_violation_early_warning,10,44,supersessionEnforced,0.4055,-0.08649999999999997,-0.017827690069471158,-0.0001943405905123763
0.9685,0.9980026631158455,0.9241676942046856,0.9596670934699104,0.9943810349494284,0.9928837622540481,1622,2378,gradient_boosting,compliance_violation_early_warning,10,44,supersessionEnforced,0.4055,-0.08649999999999997,-0.007279391314979455,-0.000556419038792666
0.955,0.9816176470588235,0.9280039721946375,0.9540581929555896,0.9883841808248603,0.9901556987183523,2014,1986,logistic_regression,compliance_violation_early_warning,10,45,(none - all controls active),0.5035,0.0,0.0,0.0
0.96975,0.9994722955145119,0.9404170804369414,0.9690457917625991,0.9947068656364162,0.9952268556608483,2014,1986,gradient_boosting,compliance_violation_early_warning,10,45,(none - all controls active),0.5035,0.0,0.0,0.0
0.9995,1.0,0.9987562189054726,0.9993777224642191,0.999999740012313,0.9999996134925125,1608,2392,logistic_regression,compliance_violation_early_warning,10,45,replayRejected,0.402,-0.10149999999999992,0.0453195295086295,0.011615559187452607
0.99925,0.9993777224642191,0.9987562189054726,0.9990668740279938,0.9988812729829115,0.9992564690305352,1608,2392,gradient_boosting,compliance_violation_early_warning,10,45,replayRejected,0.402,-0.10149999999999992,0.030021082265394683,0.0041744073464953235
