model,ablated_feature,f1,mean_delta_f1,delta_f1_ci95_low,delta_f1_ci95_high,delta_f1_wilcoxon_p,delta_f1_significant,roc_auc,mean_delta_roc_auc,delta_roc_auc_ci95_low,delta_roc_auc_ci95_high,delta_roc_auc_wilcoxon_p,n_seeds,delta_f1_bh_significant,delta_roc_auc_bh_significant
gradient_boosting,(none - full feature set),0.9702164975501674,0.0,0.0,0.0,1.0,False,0.9941577430869136,0.0,0.0,0.0,1.0,10,False,False
gradient_boosting,any_cross_session_so_far,0.8489692861560677,-0.12124721139409955,-0.12241386843595466,-0.12008055435224445,0.001953125,True,0.9366020163439777,-0.05755572674293595,-0.05823492823369562,-0.056876525252176284,0.001953125,10,True,True
gradient_boosting,any_valid_after_reissue_so_far,0.9702396461152467,2.3148565079578188e-05,-0.00010903859741913625,0.00015533572757829263,0.892738400944348,False,0.9941068369272683,-5.090615964529199e-05,-0.00017555879619302696,7.374647690244296e-05,0.322265625,10,False,False
gradient_boosting,any_valid_near_or_after_ttl_so_far,0.9702164975501674,0.0,0.0,0.0,1.0,False,0.9941693694937088,1.1626406795173239e-05,-2.8318430822044972e-05,5.157124441239145e-05,0.6744240722352938,10,False,False
gradient_boosting,channel_is_sms,0.9702396461092544,2.3148559087049493e-05,-7.939827748460764e-05,0.00012569539565870664,1.0,False,0.9941601183743233,2.3752874097504597e-06,-0.00010148540460219355,0.00010623597942169448,0.4921875,10,False,False
gradient_boosting,fraction_observed,0.9707424167779223,0.0005259192277551339,0.0002981336540682294,0.0007537048014420384,0.007632441648205508,True,0.9821578035942349,-0.011999939492678658,-0.012412815986622944,-0.011587062998734372,0.001953125,10,True,True
gradient_boosting,max_time_offset_so_far,0.9702180585971828,1.561047015419259e-06,-0.00026410456850641775,0.00026722666253725625,0.7783736950247592,False,0.9930667985826286,-0.0010909445042850074,-0.001223443010936612,-0.0009584459976334028,0.001953125,10,False,True
gradient_boosting,mean_invalid_attempt_gap_s,0.97029057359643,7.407604626291642e-05,-9.596379913512438e-05,0.00024411589166095722,0.2701810957102335,False,0.9941373281167023,-2.0414970211435346e-05,-0.00016235139121870476,0.00012152145079583407,0.845703125,10,False,False
gradient_boosting,n_invalid_so_far,0.9615676470571934,-0.008648850492973915,-0.009024248436139002,-0.008273452549808828,0.001953125,True,0.9919912559419691,-0.0021664871449445177,-0.00240903525808092,-0.0019239390318081155,0.001953125,10,True,True
gradient_boosting,n_reissues_so_far,0.9704109235549915,0.0001944260048241664,-4.1319875278518015e-05,0.0004301718849268508,0.2070209972198611,False,0.9942352399640356,7.749687712215181e-05,-8.648336408691974e-05,0.00024147711833122338,0.556640625,10,False,False
gradient_boosting,n_valid_so_far,0.8967338871610429,-0.07348261038912449,-0.07421063434106383,-0.07275458643718515,0.001953125,True,0.9524688862352345,-0.04168885685167908,-0.04232986036718647,-0.04104785333617168,0.001953125,10,True,True
logistic_regression,(none - full feature set),0.9529745506309191,0.0,0.0,0.0,1.0,False,0.988758964834745,0.0,0.0,0.0,1.0,10,False,False
logistic_regression,any_cross_session_so_far,0.8081881193212812,-0.1447864313096378,-0.1452003770025995,-0.14437248561667612,0.001953125,True,0.8879042114095806,-0.10085475342516441,-0.10112708000568019,-0.10058242684464863,0.001953125,10,True,True
logistic_regression,any_valid_after_reissue_so_far,0.9530252360743731,5.068544345411263e-05,-2.586056486137126e-05,0.0001272314517695965,0.17971249487899976,False,0.9887472884218991,-1.167641284594012e-05,-1.6861698803113055e-05,-6.491126888767185e-06,0.001953125,10,False,True
logistic_regression,any_valid_near_or_after_ttl_so_far,0.9523473499801867,-0.0006272006507322625,-0.0009741286473501822,-0.00028027265411434274,0.001953125,True,0.9866034040118853,-0.002155560822859537,-0.002172069034007515,-0.002139052611711559,0.001953125,10,True,True
logistic_regression,channel_is_sms,0.9532104288277867,0.00023587819686782252,-0.00013468213444952688,0.000606438528185172,0.232421875,False,0.9887013328612761,-5.7631973468819095e-05,-8.316453214223293e-05,-3.2099414795405264e-05,0.001953125,10,False,True
logistic_regression,fraction_observed,0.9540681712044077,0.0010936205734886518,0.0008248669737046768,0.0013623741732726267,0.001953125,True,0.9644012925563994,-0.024357672278345656,-0.024454323937696948,-0.024261020618994364,0.001953125,10,True,True
logistic_regression,max_time_offset_so_far,0.9515905261555657,-0.001384024475353285,-0.0017011918121518795,-0.0010668571385546903,0.001953125,True,0.9890357733285727,0.00027680849382777373,0.00026446768434669775,0.0002891493033088497,0.001953125,10,True,True
logistic_regression,mean_invalid_attempt_gap_s,0.9403531075365699,-0.012621443094349172,-0.013248463368250314,-0.01199442282044803,0.001953125,True,0.9859663519285833,-0.002792612906161551,-0.0028177293215349663,-0.0027674964907881358,0.001953125,10,True,True
logistic_regression,n_invalid_so_far,0.7533908754623921,-0.19958367516852685,-0.19979744350824133,-0.19936990682881237,0.001953125,True,0.8230053086423457,-0.16575365619239926,-0.16701597208965954,-0.16449134029513898,0.001953125,10,True,True
logistic_regression,n_reissues_so_far,0.8837707640195127,-0.06920378661140618,-0.06971215028358177,-0.06869542293923059,0.001953125,True,0.9296318854581405,-0.05912707937660459,-0.059338710898347136,-0.05891544785486204,0.001953125,10,True,True
logistic_regression,n_valid_so_far,0.8924464260499466,-0.060528124580972384,-0.06089492433997132,-0.06016132482197345,0.001953125,True,0.9222705947419637,-0.06648837009278125,-0.06665406512242827,-0.06632267506313422,0.001953125,10,True,True
