accuracy,precision,recall,f1,roc_auc,pr_auc,support_positive,support_negative,model,experiment,n_features,seed,ablated_feature,delta_f1,delta_roc_auc
0.9535,0.9766355140186916,0.93026706231454,0.952887537993921,0.9887156345917856,0.9905975364401458,2022,1978,logistic_regression,compliance_violation_early_warning,10,42,(none - full feature set),0.0,0.0
0.9705,0.997907949790795,0.9436201780415431,0.9700050838840875,0.9938121262672784,0.9945006688247142,2022,1978,gradient_boosting,compliance_violation_early_warning,10,42,(none - full feature set),0.0,0.0
0.8,1.0,0.6043521266073195,0.7533908754623921,0.8215851618045784,0.8756700278413904,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,n_invalid_so_far,-0.19949666253152887,-0.16713047278720716
0.96225,0.9824651882413615,0.9421364985163204,0.9618783135571826,0.9919235227462524,0.9928447351478218,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,n_invalid_so_far,-0.008126770326904897,-0.0018886035210260443
0.90125,0.9969456322541234,0.8071216617210683,0.8920470073790653,0.9222188384794561,0.9473093815814109,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,n_valid_so_far,-0.060840530614855726,-0.0664967961123295
0.90325,0.9892280071813285,0.8175074183976261,0.8952071486596264,0.9499385675666756,0.9618016922466128,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,n_valid_so_far,-0.0747979352244611,-0.04387355870060283
0.89275,0.9677040516735174,0.8150346191889218,0.8848322147651007,0.9293509514651273,0.9540596822457794,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,n_reissues_so_far,-0.06805532322882035,-0.059364683126658324
0.97125,0.9994761655316919,0.9436201780415431,0.9707453574154159,0.9939031372796109,0.9943726995515517,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,n_reissues_so_far,0.0007402735313284392,9.101101233244258e-05
0.952,0.9731127197518097,0.9307616221562809,0.9514661274014156,0.989023421834042,0.9907555098817352,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,max_time_offset_so_far,-0.0014214105925054454,0.00030778724225644094
0.9705,0.9973876698014629,0.9441147378832839,0.970020325203252,0.9926368590599463,0.9936517116062171,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,max_time_offset_so_far,1.5241319164527312e-05,-0.0011752672073321868
0.82725,0.9177652228499686,0.7230464886251237,0.8088520055325035,0.8883507404395932,0.9191733955590846,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,any_cross_session_so_far,-0.14403553246141754,-0.10036489415219241
0.8655,0.9787096774193549,0.7502472799208705,0.8493840985442329,0.9370537585047791,0.9499134047340805,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,any_cross_session_so_far,-0.12062098533985455,-0.05675836776249932
0.9535,0.9766355140186916,0.93026706231454,0.952887537993921,0.988710133926205,0.990596193279182,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,any_valid_after_reissue_so_far,0.0,-5.500665580582265e-06
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.9940925351967589,0.9946765386400233,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,any_valid_after_reissue_so_far,0.00023149713855308285,0.0002804089294804468
0.95225,0.9745982374287195,0.9297725024727992,0.9516578081498355,0.9865671246220793,0.9892780372728193,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,any_valid_near_or_after_ttl_so_far,-0.0012297298440855364,-0.0021485099697062804
0.9705,0.997907949790795,0.9436201780415431,0.9700050838840875,0.9939442672563379,0.9945494768483503,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,any_valid_near_or_after_ttl_so_far,0.0,0.00013214098905944827
0.9415,0.9675732217573222,0.9149357072205737,0.9405185561769192,0.9859070447524152,0.9880460360384885,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,mean_invalid_attempt_gap_s,-0.012368981817001856,-0.002808589839370379
0.9705,0.997907949790795,0.9436201780415431,0.9700050838840875,0.9940759081848903,0.9947106498847106,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,mean_invalid_attempt_gap_s,0.0,0.00026378191761189385
0.95375,0.9761534473820632,0.9312561819980217,0.9531764110351809,0.988625373670214,0.9905033486877641,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,channel_is_sms,0.0002888730412599072,-9.026092157160548e-05
0.9705,0.997907949790795,0.9436201780415431,0.9700050838840875,0.9937213652851994,0.9944009179435392,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,channel_is_sms,0.0,-9.076098207905225e-05
0.9555,0.9925213675213675,0.9188921859545005,0.9542886492039034,0.9643386849808826,0.9769585440721638,2022,1978,logistic_regression,compliance_violation_early_warning,9,42,fraction_observed,0.0014011112099824308,-0.024376949610902976
0.97125,1.0,0.9431256181998022,0.9707304657673709,0.9817486665886572,0.9864792477058191,2022,1978,gradient_boosting,compliance_violation_early_warning,9,42,fraction_observed,0.0007253818832834158,-0.012063459678621213
0.9535,0.9766355140186916,0.93026706231454,0.952887537993921,0.9885973702818042,0.9904975240484652,2022,1978,logistic_regression,compliance_violation_early_warning,10,43,(none - full feature set),0.0,0.0
0.97025,0.9979068550497122,0.9431256181998022,0.9697431985761505,0.993925890032694,0.9948418394684749,2022,1978,gradient_boosting,compliance_violation_early_warning,10,43,(none - full feature set),0.0,0.0
0.8,1.0,0.6043521266073195,0.7533908754623921,0.8213208798264591,0.8759262719072621,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,n_invalid_so_far,-0.19949666253152887,-0.1672764904553451
0.9615,0.9809474768280123,0.9421364985163204,0.9611503531786074,0.9918162597674319,0.9929047813756487,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,n_invalid_so_far,-0.008592845397543125,-0.002109630265262119
0.902,0.9969512195121951,0.8086053412462908,0.8929546695794648,0.9218652957007797,0.9469969151387608,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,n_valid_so_far,-0.05993286841445622,-0.06673207458102448
0.9045,0.9945717732207479,0.8155291790306627,0.8961956521739131,0.9530904489443222,0.962765147020374,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,n_valid_so_far,-0.07354754640223748,-0.04083544108837189
0.8905,0.9653349001175088,0.8125618199802176,0.8823845327604726,0.9295277228544654,0.9539461802256332,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,n_reissues_so_far,-0.07050300523344843,-0.05906964742733878
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.9942746822365507,0.9947730710322058,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,n_reissues_so_far,0.00024662848386980407,0.00034879220385664045
0.95225,0.9745982374287195,0.9297725024727992,0.9516578081498355,0.9888796544381869,0.9906380180509972,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,max_time_offset_so_far,-0.0012297298440855364,0.0002822841563827616
0.97025,0.9979068550497122,0.9431256181998022,0.9697431985761505,0.9930495339936133,0.9940534142597158,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,max_time_offset_so_far,0.0,-0.0008763560390807612
0.8265,0.9165621079046424,0.7225519287833828,0.808075221238938,0.8876506557293433,0.9187918234426695,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,any_cross_session_so_far,-0.14481231675498296,-0.10094671455246085
0.86475,0.9774339136041263,0.7497527200791295,0.84858662188637,0.936434058521081,0.9496583874676517,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,any_cross_session_so_far,-0.12115657668978053,-0.05749183151161308
0.9535,0.9766355140186916,0.93026706231454,0.952887537993921,0.9885821184363309,0.9904884865176216,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,any_valid_after_reissue_so_far,0.0,-1.5251845473240877e-05
0.97025,0.9979068550497122,0.9431256181998022,0.9697431985761505,0.9939423920294356,0.9948161928996755,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,any_valid_after_reissue_so_far,0.0,1.650199674152475e-05
0.95275,0.975609756097561,0.9297725024727992,0.9521397822233477,0.986461361824781,0.9891904094750679,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,any_valid_near_or_after_ttl_so_far,-0.0007477557705732885,-0.0021360084570232196
0.97025,0.9979068550497122,0.9431256181998022,0.9697431985761505,0.9938532562440056,0.9947803663169295,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,any_valid_near_or_after_ttl_so_far,0.0,-7.263378868849202e-05
0.94125,0.9700157811678064,0.9119683481701286,0.9400968646444048,0.9858152836493217,0.9879553055609722,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,mean_invalid_attempt_gap_s,-0.012790673349516224,-0.0027820866324824722
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.9940735328974806,0.9948260797088557,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,mean_invalid_attempt_gap_s,0.00024662848386980407,0.00014764286478652355
0.95375,0.9761534473820632,0.9312561819980217,0.9531764110351809,0.9885873690716577,0.9904653652921016,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,channel_is_sms,0.0002888730412599072,-1.0001210146493023e-05
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.993873508694552,0.9947880374915277,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,channel_is_sms,0.00024662848386980407,-5.238133814200463e-05
0.955,0.991462113127001,0.9188921859545005,0.9537987679671458,0.9640243969520312,0.9768002276196422,2022,1978,logistic_regression,compliance_violation_early_warning,9,43,fraction_observed,0.0009112299732247919,-0.02457297332977293
0.97125,0.9994761655316919,0.9436201780415431,0.9707453574154159,0.9816835337075787,0.9865767423574778,2022,1978,gradient_boosting,compliance_violation_early_warning,9,43,fraction_observed,0.0010021588392653547,-0.012242356325115389
0.95375,0.9771428571428571,0.93026706231454,0.9531289587028122,0.9886773799629754,0.9905732381663289,2022,1978,logistic_regression,compliance_violation_early_warning,10,44,(none - full feature set),0.0,0.0
0.97125,0.9994761655316919,0.9436201780415431,0.9707453574154159,0.994397447091098,0.9949784888366351,2022,1978,gradient_boosting,compliance_violation_early_warning,10,44,(none - full feature set),0.0,0.0
0.8,1.0,0.6043521266073195,0.7533908754623921,0.8214728982206847,0.8756751793167212,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,n_invalid_so_far,-0.19973808324042008,-0.16720448174229074
0.96275,0.9834796076406814,0.9421364985163204,0.9623642333922707,0.9921015442868587,0.992855139318053,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,n_invalid_so_far,-0.00838112402314517,-0.0022959028042393026
0.90125,0.99633923123856,0.8076162215628091,0.8921059819721388,0.9217340298176079,0.946921990650299,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,n_valid_so_far,-0.06102297673067347,-0.06694335014536756
0.90625,0.9963833634719711,0.8175074183976261,0.8981255093724532,0.9528390435242664,0.9636698481319974,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,n_valid_so_far,-0.07261984804296273,-0.0415584035668316
0.8915,0.9676089517078916,0.8125618199802176,0.8833333333333333,0.9295719782093632,0.954013351698039,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,n_reissues_so_far,-0.06979562536947892,-0.05910540175361223
0.971,0.999475890985325,0.9431256181998022,0.9704834605597964,0.9941819210124425,0.9946525673252319,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,n_reissues_so_far,-0.0002618968556195034,-0.00021552607865549245
0.95225,0.9745982374287195,0.9297725024727992,0.9516578081498355,0.9889434121528706,0.9907044925554237,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,max_time_offset_so_far,-0.0014711505529767521,0.0002660321898951823
0.97075,0.9984301412872841,0.9436201780415431,0.9702517162471396,0.9932160541425513,0.9940685194493233,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,max_time_offset_so_far,-0.0004936411682763264,-0.001181392948546689
0.82625,0.9170333123821496,0.7215628090999011,0.8076390810960421,0.887329616883643,0.9185322696934313,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,any_cross_session_so_far,-0.14548987760677012,-0.10134776307933246
0.869,0.9882659713168188,0.7497527200791295,0.8526434195725534,0.9374496814114507,0.9504203951339547,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,any_cross_session_so_far,-0.11810193784286249,-0.05694776567964732
0.95375,0.9771428571428571,0.93026706231454,0.9531289587028122,0.9886696290251122,0.9905676262958183,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,any_valid_after_reissue_so_far,0.0,-7.750937863204577e-06
