offset_from_ttl_s,accept_rate,accept_rate_ci95_low,accept_rate_ci95_high,n_seeds
-5.0,1.0,1.0,1.0,10
-4.5,1.0,1.0,1.0,10
-4.0,1.0,1.0,1.0,10
-3.5,1.0,1.0,1.0,10
-3.0,1.0,1.0,1.0,10
-2.5,1.0,1.0,1.0,10
-2.0,1.0,1.0,1.0,10
-1.5,1.0,1.0,1.0,10
-1.0,1.0,1.0,1.0,10
-0.5,1.0,1.0,1.0,10
0.0,0.5068,0.4924579315165544,0.5211420684834457,10
0.5,0.0002,-0.0002524314325708198,0.0006524314325708199,10
1.0,0.0,0.0,0.0,10
1.5,0.0,0.0,0.0,10
2.0,0.0,0.0,0.0,10
2.5,0.0,0.0,0.0,10
3.0,0.0,0.0,0.0,10
3.5,0.0,0.0,0.0,10
4.0,0.0,0.0,0.0,10
4.5,0.0,0.0,0.0,10
5.0,0.0,0.0,0.0,10
