offset_from_ttl_s,accept_rate,seed
-5.0,1.0,42
-4.5,1.0,42
-4.0,1.0,42
-3.5,1.0,42
-3.0,1.0,42
-2.5,1.0,42
-2.0,1.0,42
-1.5,1.0,42
-1.0,1.0,42
-0.5,1.0,42
0.0,0.488,42
0.5,0.002,42
1.0,0.0,42
1.5,0.0,42
2.0,0.0,42
2.5,0.0,42
3.0,0.0,42
3.5,0.0,42
4.0,0.0,42
4.5,0.0,42
5.0,0.0,42
-5.0,1.0,43
-4.5,1.0,43
-4.0,1.0,43
-3.5,1.0,43
-3.0,1.0,43
-2.5,1.0,43
-2.0,1.0,43
-1.5,1.0,43
-1.0,1.0,43
-0.5,1.0,43
0.0,0.514,43
0.5,0.0,43
1.0,0.0,43
1.5,0.0,43
2.0,0.0,43
2.5,0.0,43
3.0,0.0,43
3.5,0.0,43
4.0,0.0,43
4.5,0.0,43
5.0,0.0,43
-5.0,1.0,44
-4.5,1.0,44
-4.0,1.0,44
-3.5,1.0,44
-3.0,1.0,44
-2.5,1.0,44
-2.0,1.0,44
-1.5,1.0,44
-1.0,1.0,44
-0.5,1.0,44
0.0,0.53,44
0.5,0.0,44
1.0,0.0,44
1.5,0.0,44
2.0,0.0,44
2.5,0.0,44
3.0,0.0,44
3.5,0.0,44
4.0,0.0,44
4.5,0.0,44
5.0,0.0,44
-5.0,1.0,45
-4.5,1.0,45
-4.0,1.0,45
-3.5,1.0,45
-3.0,1.0,45
-2.5,1.0,45
-2.0,1.0,45
-1.5,1.0,45
-1.0,1.0,45
-0.5,1.0,45
0.0,0.48,45
0.5,0.0,45
1.0,0.0,45
1.5,0.0,45
2.0,0.0,45
2.5,0.0,45
3.0,0.0,45
3.5,0.0,45
4.0,0.0,45
4.5,0.0,45
5.0,0.0,45
-5.0,1.0,46
-4.5,1.0,46
-4.0,1.0,46
-3.5,1.0,46
-3.0,1.0,46
-2.5,1.0,46
-2.0,1.0,46
-1.5,1.0,46
-1.0,1.0,46
-0.5,1.0,46
0.0,0.476,46
0.5,0.0,46
1.0,0.0,46
1.5,0.0,46
2.0,0.0,46
2.5,0.0,46
3.0,0.0,46
3.5,0.0,46
4.0,0.0,46
4.5,0.0,46
5.0,0.0,46
-5.0,1.0,47
-4.5,1.0,47
-4.0,1.0,47
-3.5,1.0,47
-3.0,1.0,47
-2.5,1.0,47
-2.0,1.0,47
-1.5,1.0,47
-1.0,1.0,47
-0.5,1.0,47
0.0,0.52,47
0.5,0.0,47
1.0,0.0,47
1.5,0.0,47
2.0,0.0,47
2.5,0.0,47
3.0,0.0,47
3.5,0.0,47
4.0,0.0,47
4.5,0.0,47
5.0,0.0,47
-5.0,1.0,48
-4.5,1.0,48
-4.0,1.0,48
-3.5,1.0,48
-3.0,1.0,48
-2.5,1.0,48
-2.0,1.0,48
-1.5,1.0,48
-1.0,1.0,48
-0.5,1.0,48
0.0,0.496,48
0.5,0.0,48
1.0,0.0,48
1.5,0.0,48
2.0,0.0,48
2.5,0.0,48
3.0,0.0,48
3.5,0.0,48
4.0,0.0,48
4.5,0.0,48
5.0,0.0,48
-5.0,1.0,49
-4.5,1.0,49
-4.0,1.0,49
-3.5,1.0,49
-3.0,1.0,49
-2.5,1.0,49
-2.0,1.0,49
-1.5,1.0,49
-1.0,1.0,49
-0.5,1.0,49
0.0,0.524,49
0.5,0.0,49
1.0,0.0,49
1.5,0.0,49
2.0,0.0,49
2.5,0.0,49
3.0,0.0,49
3.5,0.0,49
4.0,0.0,49
4.5,0.0,49
5.0,0.0,49
-5.0,1.0,50
-4.5,1.0,50
-4.0,1.0,50
-3.5,1.0,50
-3.0,1.0,50
-2.5,1.0,50
-2.0,1.0,50
-1.5,1.0,50
-1.0,1.0,50
-0.5,1.0,50
0.0,0.514,50
0.5,0.0,50
1.0,0.0,50
1.5,0.0,50
2.0,0.0,50
2.5,0.0,50
3.0,0.0,50
3.5,0.0,50
4.0,0.0,50
4.5,0.0,50
5.0,0.0,50
-5.0,1.0,51
-4.5,1.0,51
-4.0,1.0,51
-3.5,1.0,51
-3.0,1.0,51
-2.5,1.0,51
-2.0,1.0,51
-1.5,1.0,51
-1.0,1.0,51
-0.5,1.0,51
0.0,0.526,51
0.5,0.0,51
1.0,0.0,51
1.5,0.0,51
2.0,0.0,51
2.5,0.0,51
3.0,0.0,51
3.5,0.0,51
4.0,0.0,51
4.5,0.0,51
5.0,0.0,51
