scenario,seed,completion_rate,abandonment_rate,mean_time_to_complete_s
sms_baseline,42,0.9602,0.03979999999999995,6.553712776276844
sms_degraded,42,0.3332,0.6668000000000001,16.88854796065291
email_baseline,42,0.812,0.18799999999999994,10.066422627388684
email_degraded,42,0.1606,0.8394,20.770422186777022
sms_baseline,43,0.9552,0.04479999999999995,6.509372573969776
sms_degraded,43,0.3418,0.6582,16.380493602456262
email_baseline,43,0.813,0.18700000000000006,10.124069734759205
email_degraded,43,0.161,0.839,20.050576273310845
sms_baseline,44,0.9476,0.0524,6.513134784397775
sms_degraded,44,0.3472,0.6528,16.653001467254516
email_baseline,44,0.8194,0.18059999999999998,10.109586935121087
email_degraded,44,0.169,0.831,20.182190178699692
sms_baseline,45,0.9544,0.045599999999999974,6.551960099505503
sms_degraded,45,0.3454,0.6546000000000001,16.63918636575373
email_baseline,45,0.828,0.17200000000000004,10.05849183674305
email_degraded,45,0.1578,0.8422000000000001,19.377251665122746
sms_baseline,46,0.9596,0.04039999999999999,6.5881902175711575
sms_degraded,46,0.3478,0.6522,16.33785989469731
email_baseline,46,0.818,0.18200000000000005,10.032271104241639
email_degraded,46,0.156,0.844,20.539871137513057
sms_baseline,47,0.9554,0.04459999999999997,6.48508880006923
sms_degraded,47,0.3448,0.6552,16.38689669143042
email_baseline,47,0.8142,0.18579999999999997,10.041483879503645
email_degraded,47,0.1588,0.8412,19.734096746868165
sms_baseline,48,0.9516,0.0484,6.548784662167909
sms_degraded,48,0.3566,0.6434,16.394152055449332
email_baseline,48,0.8168,0.18320000000000003,10.20200710883755
email_degraded,48,0.1504,0.8496,20.50389947268734
sms_baseline,49,0.954,0.04600000000000004,6.589559446858707
sms_degraded,49,0.3386,0.6614,16.584287701808112
email_baseline,49,0.8164,0.18359999999999999,10.171519839702661
email_degraded,49,0.151,0.849,20.88496302679222
sms_baseline,50,0.9566,0.043399999999999994,6.53563395916248
sms_degraded,50,0.349,0.651,16.779702574453818
email_baseline,50,0.821,0.17900000000000005,10.251150342024648
email_degraded,50,0.1634,0.8366,19.398975854464517
sms_baseline,51,0.9566,0.043399999999999994,6.535369256346262
sms_degraded,51,0.3564,0.6436,16.649563778468746
email_baseline,51,0.8216,0.1784,9.972972792147972
email_degraded,51,0.1618,0.8382000000000001,20.306477694114253
